actor1,actor2,shows,num
65830,65832,"Trailer Park Boys, Swearnet: The Movie, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: The Movie, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",7
65830,31988,"Trailer Park Boys, Swearnet: The Movie, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: The Movie, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",7
65830,66201,"Trailer Park Boys, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",5
65831,65832,"Trailer Park Boys, Swearnet: The Movie, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: The Movie, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",7
65831,31988,"Trailer Park Boys, Swearnet: The Movie, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: The Movie, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",7
65831,66201,"Trailer Park Boys, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",5
65832,31988,"Trailer Park Boys, Swearnet: The Movie, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: The Movie, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",7
65832,66201,"Trailer Park Boys, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",5
31988,66201,"Trailer Park Boys, Trailer Park Boys: Drunk, High and Unemployed: Live In Austin, Trailer Park Boys: Say Goodnight to the Bad Guys, Trailer Park Boys: Countdown to Liquor Day, Swearnet Live",5
160,18238,"Get Smart, The Ridiculous 6, Sandy Wexler",3
20372,14143,"The Fairly OddParents, DC Super Hero Girls, My Little Pony: A New Generation",3
14142,14143,"The Fairly OddParents, Farzar, DC Super Hero Girls, Sharkdog’s Fintastic Halloween",4
2317,2322,"Grown Ups, Sandy Wexler, Hubie Halloween",3
2317,5146,"Norm Macdonald: Nothing Special, Grown Ups, The Do-Over",3
2317,2329,"The Ridiculous 6, Grown Ups, The Do-Over, Hustle, The Week Of, Hubie Halloween",6
2317,2350,"The Ridiculous 6, Grown Ups, Murder Mystery, The Do-Over, The Week Of, Sandy Wexler, Hubie Halloween",7
2317,17349,"Grown Ups, Sandy Wexler, Hubie Halloween",3
9233,2327,"Grown Ups, Sandy Wexler, The Week Of",3
9233,2350,"Grown Ups, Sandy Wexler, The Week Of",3
9233,17349,"Grown Ups, Sandy Wexler, Comedian",3
2322,2327,"Grown Ups, Sandy Wexler, Home Team, Hubie Halloween",4
2322,8472,"Grown Ups, Sandy Wexler, Home Team, Hubie Halloween",4
2322,2329,"Grown Ups, Home Team, Hubie Halloween",3
2322,2350,"Grown Ups, Sandy Wexler, Hubie Halloween",3
2322,17349,"Grown Ups, Sandy Wexler, Hubie Halloween",3
2327,5146,"Grown Ups, The Do-Over, Father of the Year, The Wrong Missy",4
2327,2329,"The Ridiculous 6, Home Team, Grown Ups, The Do-Over, The Week Of, Hubie Halloween",6
2327,2350,"The Ridiculous 6, The Wrong Missy, Grown Ups, Murder Mystery, The Do-Over, The Week Of, Sandy Wexler, Hubie Halloween",8
2327,17349,"Grown Ups, Sandy Wexler, Hubie Halloween",3
8472,2329,"Grown Ups, The Ridiculous 6, Home Team, Hubie Halloween",4
8472,2350,"The Ridiculous 6, The Wrong Missy, Grown Ups, Sandy Wexler, Hubie Halloween",5
8472,17349,"Grown Ups, Sandy Wexler, Hubie Halloween",3
